Col,Col,t,T4,T3,TSH,Lymphocytes,Ab
100,100,593.6451525,0.886385427,285.4907366,8.038692954,422.24277,264.758061
101,101,600,0.966786821,303.8045325,4.908691457,403.9982099,263.7156315
102,102,605.5134482,0.921916099,260.9921988,2.901424479,430.8961898,264.123801
103,103,611.1064467,0.926741796,257.0364451,4.482420751,427.7970934,251.3889696
104,104,618.9933838,0.979635137,262.5430044,7.12227037,414.8546458,251.5961383
105,105,625.1500771,0.975461021,270.763272,4.376725953,427.9137206,278.6253881
106,106,632.1016224,0.944938117,258.5933338,3.262216171,418.5804013,242.5549469
107,107,637.6739757,1.001750425,270.1835851,6.662147465,413.5675036,238.5165077
108,108,646.5183635,0.903643659,298.8449122,6.056142234,414.1507191,235.7856832
109,109,650.583089,0.885318236,247.4219082,3.251943611,422.8797,241.1603691
110,110,657.0644287,0.858431607,254.3233304,4.055938556,419.9135381,279.1282071
111,111,662.9159974,0.989285571,268.1254147,7.49001668,424.1960182,253.4345591
112,112,671.5316563,0.980383029,269.0118073,5.275935337,409.5234216,253.4565496
113,113,677.3559469,0.923994514,266.4995083,2.911318474,383.077329,232.8018562
114,114,682.9172989,0.91853546,274.3507481,5.09189519,462.0637671,269.7279138
115,115,690.6870561,0.907896623,267.3169268,7.524241096,418.6151404,238.0377493
116,116,696.210766,1.018453934,271.3643136,4.721929319,407.0407358,252.9560449
117,117,701.27108,0.93836357,299.7569503,2.991080554,403.3224177,246.4293932
118,118,706.9089114,0.98319654,257.5815023,4.811375044,438.7737222,263.6641156
119,119,714.6857395,1.023597272,261.5292334,6.853746006,420.3142432,266.0845045
