t,T4,T3,TSH,Bcells,Plasma,CD4,Cytokine,FTS,Ab
266.83891549717066,0.17942773767810694,0.004242032395820193,,71.75651521342394,18.318286755952816,290.21067029053177,6.878637589993656e9,2.552732999685608,5.902255843537685e8
273.2603611173567,0.18152187720900584,,,74.66422738913839,18.947442210951465,258.7978201209052,6.860172608170559e9,,6.492640908783045e8
279.19300185305826,,0.004543425627884433,,72.31165579841542,19.27219887733237,,6.932750179090967e9,3.8084691986063377,6.071944235590435e8
287.83943104605197,0.19462692288947467,0.004624461879439244,4.943824270549628,79.87435855048271,18.056086550060705,263.8605326575094,,2.975998468717618,
291.741151422639,0.20902582228868774,0.004669961799440046,3.0113635459512853,83.22038681208512,18.07798402327017,268.91464407769047,7.505241417070128e9,,5.704265429660325e8
298.0436255370104,,0.004869039586480805,,77.03321863358997,,,6.687551027926606e9,2.8332064197015088,
304.95449830958665,0.21144902679411512,0.004954147498955283,7.322381713130115,,19.16221055341737,281.8823162917538,7.782590931714267e9,3.816313690750638,5.673673620785284e8
312.0,0.19971382124549683,0.004631205577427872,4.344244382293242,,17.778353278411934,272.28170662054976,,3.633512357082466,
318.9623336164246,,0.004561967279391345,2.7419642041267784,80.96808687400956,,276.7380934468162,7.556437637855935e9,2.5547384168967397,6.052890405179896e8
324.45845451552344,0.20335323940494954,0.004520120454333517,5.21245458204282,,20.703866615215645,,,3.4909602772990396,6.137965746434641e8
333.1265632970237,,,5.794361272777319,82.34141538996359,,281.4887858803212,7.444857982203235e9,,
337.4554358424419,0.2120202703648212,0.004136663897727766,,78.59041733768238,,304.9622546684697,8.367204810650808e9,,5.3296344690985936e8
343.71751996092394,0.2104074713990504,0.004423020354251078,3.0449938439687094,86.93863569906034,20.734846477620593,308.4997195757332,,,
349.07345422729503,0.1959955016680848,0.004341733496272559,,,20.995615143009488,308.68856937751013,7.9161215097392645e9,3.5558060017251965,6.022272394659365e8
357.84903582511726,0.1908873357833007,0.004611646800336223,5.189204473901867,,,268.66478999444394,7.906351456679299e9,3.4457373249845222,6.157523501740782e8
361.9549317036553,0.17783459318775663,,,82.01628155212157,,295.03250637067885,,,5.3543528967210144e8
368.44575653515363,,0.0044452369769329425,,90.80951922675818,20.503802235874826,284.73129509041325,7.979352263275773e9,2.8070795863007794,6.526280808811221e8
374.03688087746315,0.21862659201464726,0.004301436654590992,5.6800346813670455,,20.949188351139796,307.54978001684293,8.880723325186083e9,,5.867326085556742e8
382.7503478908069,0.21370265423306822,0.004315563841300837,5.450298231860825,85.54638626531013,21.346181736091236,,8.034105596146148e9,3.5072675067603716,5.998298152488507e8
388.8814521455699,,,,,22.350862108016155,298.99893825629334,,2.414269343169066,5.966614292952782e8
394.88068805814453,,0.004359364243440516,4.402383442651646,91.39238557506965,,301.680423775461,7.667820214647457e9,,
402.6756644417408,0.1879493329041704,0.004661334136399333,6.581337312060072,80.8107622669361,22.236110187744508,,8.210211958254095e9,3.724181810180478,5.590386599416023e8
408.2289674031643,,0.00463252780709841,,,22.187075323223784,,7.552439726492692e9,,6.19013673819108e8
413.2623555285582,0.19257562680812648,,,86.71547003730548,22.25798459567036,,7.636105236968465e9,2.6526958911838587,6.170902701963968e8
418.7387739767952,0.19859917606668298,0.004431610924209615,4.588989342380513,,22.7330889040419,285.63762064503965,,2.6768223065324843,6.74683416006761e8
426.3843681297107,,0.004721578083285826,6.784535932841348,91.62151966792425,22.08920614998617,276.4455218714389,8.846081505762527e9,,
432.49244066099305,0.20626915014883823,0.0041822413356961945,4.834464908579899,95.1324665332075,22.08027750235299,320.31282510553405,,3.068392150815187,6.130547113855094e8
438.81905991354523,,0.0041968241667878605,,94.48346401414186,22.739930248123528,308.9180669805904,8.26680582641806e9,2.5129923768560034,
444.25479125087566,,0.004427340277678788,,,,,8.845560053370909e9,3.2191982609904435,
452.7544742072892,0.1913674042428853,0.004086689193250261,6.250848632615106,94.71895089100528,,287.33480862768624,,3.5811962166922435,
458.21643776400134,,0.004463817797021772,,,,302.5354142132985,,,7.12442489923894e8
464.8180208707962,,0.004060833373799597,3.5373662468844027,94.84341694911679,22.97973054279324,328.46309296036316,9.096370924156843e9,,6.649152341114633e8
470.50958493991783,,,,94.80337103411094,,,8.671500736755001e9,,6.888427731937578e8
479.25729072919773,,0.004488233272151078,5.59434535990426,99.27475565815786,,,9.337703868368555e9,3.3540808446788057,
482.5997689888329,,0.004327003746359099,3.645892110251981,,24.56545971199484,337.2286768748082,8.747060761457056e9,2.753123501723279,6.909893013223243e8
489.0081779798689,0.19327062145703716,0.004543038248859943,,102.84917794255566,,,,,7.702799374512684e8
494.8150092576421,0.18746265321782343,0.004489164526458127,6.258852273134249,92.27423296820294,,282.8706509225131,,,
503.4301600899079,0.1706528829429505,0.004452370721469798,4.824984773808231,,,311.7891253479854,,3.25723667269609,
